name,mana_cost,type_line,oracle_text,rarity,set,collector_number
Forest,,Basic Land — Forest,({T}: Add {G}.),common,eoe,266
Plains,,Basic Land — Plains,({T}: Add {W}.),common,eoe,267
Plains,,Basic Land — Plains,({T}: Add {W}.),common,eoe,268
Island,,Basic Land — Island,({T}: Add {U}.),common,eoe,269
Island,,Basic Land — Island,({T}: Add {U}.),common,eoe,270
Swamp,,Basic Land — Swamp,({T}: Add {B}.),common,eoe,271
Swamp,,Basic Land — Swamp,({T}: Add {B}.),common,eoe,272
Mountain,,Basic Land — Mountain,({T}: Add {R}.),common,eoe,273
Mountain,,Basic Land — Mountain,({T}: Add {R}.),common,eoe,274
Forest,,Basic Land — Forest,({T}: Add {G}.),common,eoe,275
Forest,,Basic Land — Forest,({T}: Add {G}.),common,eoe,276
"Adagia, Windswept Bastion",,Land — Planet,"This land enters tapped.
{T}: Add {W}.
Station (Tap another creature you control: Put charge counters equal to its power on this Planet. Station only as a sorcery.)
12+ | {3}{W}, {T}: Create a token that's a copy of target artifact or enchantment you control, except it's legendary. Activate only as a sorcery.",mythic,eoe,277
Breeding Pool,,Land — Forest Island,"({T}: Add {G} or {U}.)
As this land enters, you may pay 2 life. If you don't, it enters tapped.",rare,eoe,278
"Evendo, Waking Haven",,Land — Planet,"This land enters tapped.
{T}: Add {G}.
Station (Tap another creature you control: Put charge counters equal to its power on this Planet. Station only as a sorcery.)
12+ | {G}, {T}: Add {G} for each creature you control.",mythic,eoe,279
Godless Shrine,,Land — Plains Swamp,"({T}: Add {W} or {B}.)
As this land enters, you may pay 2 life. If you don't, it enters tapped.",rare,eoe,280
"Kavaron, Memorial World",,Land — Planet,"This land enters tapped.
{T}: Add {R}.
Station (Tap another creature you control: Put charge counters equal to its power on this Planet. Station only as a sorcery.)
12+ | {1}{R}, {T}, Sacrifice a land: Create a 2/2 colorless Robot artifact creature token, then creatures you control get +1/+0 and gain haste until end of turn.",mythic,eoe,281
Sacred Foundry,,Land — Mountain Plains,"({T}: Add {R} or {W}.)
As this land enters, you may pay 2 life. If you don't, it enters tapped.",rare,eoe,282
Stomping Ground,,Land — Mountain Forest,"({T}: Add {R} or {G}.)
As this land enters, you may pay 2 life. If you don't, it enters tapped.",rare,eoe,283
"Susur Secundi, Void Altar",,Land — Planet,"This land enters tapped.
{T}: Add {B}.
Station (Tap another creature you control: Put charge counters equal to its power on this Planet. Station only as a sorcery.)
12+ | {1}{B}, {T}, Pay 2 life, Sacrifice a creature: Draw cards equal to the sacrificed creature's power. Activate only as a sorcery.",mythic,eoe,284
"Uthros, Titanic Godcore",,Land — Planet,"This land enters tapped.
{T}: Add {U}.
Station (Tap another creature you control: Put charge counters equal to its power on this Planet. Station only as a sorcery.)
12+ | {U}, {T}: Add {U} for each artifact you control.",mythic,eoe,285
Watery Grave,,Land — Island Swamp,"({T}: Add {U} or {B}.)
As this land enters, you may pay 2 life. If you don't, it enters tapped.",rare,eoe,286
"Tezzeret, Cruel Captain",{3},Legendary Planeswalker — Tezzeret,"Whenever an artifact you control enters, put a loyalty counter on Tezzeret.
0: Untap target artifact or creature. If it's an artifact creature, put a +1/+1 counter on it.
−3: Search your library for an artifact card with mana value 1 or less, reveal it, put it into your hand, then shuffle.
−7: You get an emblem with ""At the beginning of combat on your turn, put three +1/+1 counters on target artifact you control. If it's not a creature, it becomes a 0/0 Robot artifact creature.""",mythic,eoe,287
Astelli Reclaimer,{3}{W}{W},Creature — Angel Warrior,"Flying
When this creature enters, return target noncreature, nonland permanent card with mana value X or less from your graveyard to the battlefield, where X is the amount of mana spent to cast this creature.
Warp {2}{W}",rare,eoe,288
"Haliya, Guided by Light",{2}{W},Legendary Creature — Human Soldier,"Whenever Haliya or another creature or artifact you control enters, you gain 1 life.
At the beginning of your end step, draw a card if you've gained 3 or more life this turn.
Warp {W} (You may cast this card from your hand for its warp cost. Exile this creature at the beginning of the next end step, then you may cast it from exile on a later turn.)",rare,eoe,289
"Mm'menon, the Right Hand",{3}{U}{U},Legendary Creature — Jellyfish Advisor,"Flying
You may look at the top card of your library any time.
You may cast artifact spells from the top of your library.
Artifacts you control have ""{T}: Add {U}. Spend this mana only to cast a spell from anywhere other than your hand.""",rare,eoe,290
Starwinder,{5}{U}{U},Creature — Leviathan,"Whenever a creature you control deals combat damage to a player, you may draw that many cards.
Warp {2}{U}{U} (You may cast this card from your hand for its warp cost. Exile this creature at the beginning of the next end step, then you may cast it from exile on a later turn.)",rare,eoe,291
"Alpharael, Stonechosen",{3}{B}{B},Legendary Creature — Human Cleric,"Ward—Discard a card at random.
Void — Whenever Alpharael attacks, if a nonland permanent left the battlefield this turn or a spell was warped this turn, defending player loses half their life, rounded up.",mythic,eoe,292
Elegy Acolyte,{2}{B}{B},Creature — Human Cleric,"Lifelink
Whenever one or more creatures you control deal combat damage to a player, you draw a card and lose 1 life.
Void — At the beginning of your end step, if a nonland permanent left the battlefield this turn or a spell was warped this turn, create a 2/2 colorless Robot artifact creature token.",rare,eoe,293
"Xu-Ifit, Osteoharmonist",{1}{B}{B},Legendary Creature — Human Wizard,{T}: Return target creature card from your graveyard to the battlefield. It's a Skeleton in addition to its other types and has no abilities. Activate only as a sorcery.,rare,eoe,294
Possibility Technician,{2}{R},Creature — Kavu Artificer,"Whenever this creature or another Kavu you control enters, exile the top card of your library. For as long as that card remains exiled, you may play it if you control a Kavu.
Warp {1}{R} (You may cast this card from your hand for its warp cost. Exile this creature at the beginning of the next end step, then you may cast it from exile on a later turn.)",rare,eoe,295
"Tannuk, Steadfast Second",{2}{R}{R},Legendary Creature — Kavu Pilot,"Other creatures you control have haste.
Artifact cards and red creature cards in your hand have warp {2}{R}. (You may cast a card from your hand for its warp cost. Exile that permanent at the beginning of the next end step, then you may cast it from exile on a later turn.)",mythic,eoe,296
Mightform Harmonizer,{2}{G}{G},Creature — Insect Druid,"Landfall — Whenever a land you control enters, double the power of target creature you control until end of turn.
Warp {2}{G} (You may cast this card from your hand for its warp cost. Exile this creature at the beginning of the next end step, then you may cast it from exile on a later turn.)",rare,eoe,297
"Dyadrine, Synthesis Amalgam",{X}{G}{W},Legendary Artifact Creature — Construct,"Trample
Dyadrine enters with a number of +1/+1 counters on it equal to the amount of mana spent to cast it.
Whenever you attack, you may remove a +1/+1 counter from each of two creatures you control. If you do, draw a card and create a 2/2 colorless Robot artifact creature token.",rare,eoe,298
Genemorph Imago,{G}{U},Creature — Insect Druid,"Flying
Landfall — Whenever a land you control enters, target creature has base power and toughness 3/3 until end of turn. If you control six or more lands, that creature has base power and toughness 6/6 until end of turn instead.",rare,eoe,299
"Ragost, Deft Gastronaut",{R}{W},Legendary Creature — Lobster Citizen,"Artifacts you control are Foods in addition to their other types and have ""{2}, {T}, Sacrifice this artifact: You gain 3 life.""
{1}, {T}, Sacrifice a Food: Ragost deals 3 damage to each opponent.
At the beginning of each end step, if you gained life this turn, untap Ragost.",rare,eoe,300
"Sami, Wildcat Captain",{4}{R}{W},Legendary Creature — Human Artificer Rogue,"Double strike, vigilance
Spells you cast have affinity for artifacts. (They cost {1} less to cast for each artifact you control.)",mythic,eoe,301
"Syr Vondam, Sunstar Exemplar",{W}{B},Legendary Creature — Human Knight,"Vigilance, menace
Whenever another creature you control dies or is put into exile, put a +1/+1 counter on Syr Vondam and you gain 1 life.
When Syr Vondam dies or is put into exile while its power is 4 or greater, destroy up to one target nonland permanent.",rare,eoe,302
Beyond the Quiet,{3}{W}{W},Sorcery,Exile all creatures and Spacecraft.,rare,eoe,303
Cosmogrand Zenith,{2}{W},Creature — Human Soldier,"Whenever you cast your second spell each turn, choose one —
• Create two 1/1 white Human Soldier creature tokens.
• Put a +1/+1 counter on each creature you control.",mythic,eoe,304
Quantum Riddler,{3}{U}{U},Creature — Sphinx,"Flying
When this creature enters, draw a card.
As long as you have one or fewer cards in hand, if you would draw one or more cards, you draw that many cards plus one instead.
Warp {1}{U}",mythic,eoe,305
Starwinder,{5}{U}{U},Creature — Leviathan,"Whenever a creature you control deals combat damage to a player, you may draw that many cards.
Warp {2}{U}{U} (You may cast this card from your hand for its warp cost. Exile this creature at the beginning of the next end step, then you may cast it from exile on a later turn.)",rare,eoe,306
Archenemy's Charm,{B}{B}{B},Instant,"Choose one —
• Exile target creature or planeswalker.
• Return one or two target creature and/or planeswalker cards from your graveyard to your hand.
• Put two +1/+1 counters on target creature you control. It gains lifelink until end of turn.",rare,eoe,307
Devastating Onslaught,{X}{X}{R},Sorcery,Create X tokens that are copies of target artifact or creature you control. Those tokens gain haste until end of turn. Sacrifice them at the beginning of the next end step.,mythic,eoe,308
Nova Hellkite,{3}{R}{R},Creature — Dragon,"Flying, haste
When this creature enters, it deals 1 damage to target creature an opponent controls.
Warp {2}{R} (You may cast this card from your hand for its warp cost. Exile this creature at the beginning of the next end step, then you may cast it from exile on a later turn.)",rare,eoe,309
Rust Harvester,{R},Artifact Creature — Robot,"Menace
{2}, {T}, Exile an artifact card from your graveyard: Put a +1/+1 counter on this creature, then it deals damage equal to its power to any target.",rare,eoe,310
Weapons Manufacturing,{1}{R},Enchantment,"Whenever a nontoken artifact you control enters, create a colorless artifact token named Munitions with ""When this token leaves the battlefield, it deals 2 damage to any target.""",rare,eoe,311
Terrasymbiosis,{2}{G},Enchantment,"Whenever you put one or more +1/+1 counters on a creature you control, you may draw that many cards. Do this only once each turn.",rare,eoe,312
Cosmogoyf,{B}{G},Creature — Elemental Lhurgoyf,Cosmogoyf's power is equal to the number of cards you own in exile and its toughness is equal to that number plus 1.,rare,eoe,313
Mutinous Massacre,{3}{B}{B}{R}{R},Sorcery,Choose odd or even. Destroy each creature with mana value of the chosen quality. Then gain control of all creatures until end of turn. Untap them. They gain haste until end of turn. (Zero is even.),rare,eoe,314
Space-Time Anomaly,{2}{W}{U},Sorcery,Target player mills cards equal to your life total.,rare,eoe,315
Secluded Starforge,,Land,"{T}: Add {C}.
{2}, {T}, Tap X untapped artifacts you control: Target creature gets +X/+0 until end of turn. Activate only as a sorcery.
{5}, {T}: Create a 2/2 colorless Robot artifact creature token.",rare,eoe,316
Anticausal Vestige,{6},Creature — Eldrazi,"When this creature leaves the battlefield, draw a card, then you may put a permanent card with mana value less than or equal to the number of lands you control from your hand onto the battlefield tapped.
Warp {4} (You may cast this card from your hand for its warp cost. Exile this creature at the beginning of the next end step, then you may cast it from exile on a later turn.)",rare,eoe,317
Exalted Sunborn,{3}{W}{W},Creature — Angel Wizard,"Flying, lifelink
If one or more tokens would be created under your control, twice that many of those tokens are created instead.
Warp {1}{W} (You may cast this card from your hand for its warp cost. Exile this creature at the beginning of the next end step, then you may cast it from exile on a later turn.)",mythic,eoe,318
Hardlight Containment,{W},Enchantment — Aura,"Enchant artifact you control
When this Aura enters, exile target creature an opponent controls until this Aura leaves the battlefield.
Enchanted permanent has ward {1}.",rare,eoe,319
Lightstall Inquisitor,{W},Creature — Angel Wizard,"Vigilance
When this creature enters, each opponent exiles a card from their hand and may play that card for as long as it remains exiled. Each spell cast this way costs {1} more to cast. Each land played this way enters tapped.",rare,eoe,320
Lumen-Class Frigate,{1}{W},Artifact — Spacecraft,"Station (Tap another creature you control: Put charge counters equal to its power on this Spacecraft. Station only as a sorcery. It's an artifact creature at 12+.)
2+ | Other creatures you control get +1/+1.
12+ | Flying, lifelink",rare,eoe,321
Pinnacle Starcage,{1}{W}{W},Artifact,"When this artifact enters, exile all artifacts and creatures with mana value 2 or less until this artifact leaves the battlefield.
{6}{W}{W}: Put each card exiled with this artifact into its owner's graveyard, then create a 2/2 colorless Robot artifact creature token for each card put into a graveyard this way. Sacrifice this artifact.",rare,eoe,322
The Seriema,{1}{W}{W},Legendary Artifact — Spacecraft,"When The Seriema enters, search your library for a legendary creature card, reveal it, put it into your hand, then shuffle.
Station (Tap another creature you control: Put charge counters equal to its power on this Spacecraft. Station only as a sorcery. It's an artifact creature at 7+.)
7+ | Flying
Other tapped legendary creatures you control have indestructible.",rare,eoe,323
Sunstar Chaplain,{1}{W},Creature — Human Cleric,"At the beginning of your end step, if you control two or more tapped creatures, put a +1/+1 counter on target creature you control.
{2}, Remove a +1/+1 counter from a creature you control: Tap target artifact or creature.",rare,eoe,324
Consult the Star Charts,{1}{U},Instant,"Kicker {1}{U} (You may pay an additional {1}{U} as you cast this spell.)
Look at the top X cards of your library, where X is the number of lands you control. Put one of those cards into your hand. If this spell was kicked, put two of those cards into your hand instead. Put the rest on the bottom of your library in a random order.",rare,eoe,325
Emissary Escort,{1}{U},Artifact Creature — Robot Soldier,"This creature gets +X/+0, where X is the greatest mana value among other artifacts you control.",rare,eoe,326
Moonlit Meditation,{2}{U},Enchantment — Aura,"Enchant artifact or creature you control
The first time you would create one or more tokens each turn, you may instead create that many tokens that are copies of enchanted permanent.",rare,eoe,327
Starfield Vocalist,{3}{U},Creature — Human Bard,"If a permanent entering the battlefield causes a triggered ability of a permanent you control to trigger, that ability triggers an additional time.
Warp {1}{U} (You may cast this card from your hand for its warp cost. Exile this creature at the beginning of the next end step, then you may cast it from exile on a later turn.)",rare,eoe,328
Synthesizer Labship,{U},Artifact — Spacecraft,"Station (Tap another creature you control: Put charge counters equal to its power on this Spacecraft. Station only as a sorcery. It's an artifact creature at 9+.)
2+ | At the beginning of combat on your turn, up to one other target artifact you control becomes an artifact creature with base power and toughness 2/2 and gains flying until end of turn.
9+ | Flying, vigilance",rare,eoe,329
Weftwalking,{4}{U}{U},Enchantment,"When this enchantment enters, if you cast it, shuffle your hand and graveyard into your library, then draw seven cards.
The first spell each player casts during each of their turns may be cast without paying its mana cost.",mythic,eoe,330
Chorale of the Void,{3}{B},Enchantment — Aura,"Enchant creature you control
Whenever enchanted creature attacks, put target creature card from defending player's graveyard onto the battlefield under your control tapped and attacking.
Void — At the beginning of your end step, sacrifice this Aura unless a nonland permanent left the battlefield this turn or a spell was warped this turn.",rare,eoe,331
Entropic Battlecruiser,{3}{B},Artifact — Spacecraft,"Station (Tap another creature you control: Put charge counters equal to its power on this Spacecraft. Station only as a sorcery. It's an artifact creature at 8+.)
1+ | Whenever an opponent discards a card, they lose 3 life.
8+ | Flying, deathtouch
Whenever this Spacecraft attacks, each opponent discards a card. Each opponent who can't loses 3 life.",rare,eoe,332
Requiem Monolith,{2}{B},Artifact,"{T}: Until end of turn, target creature gains ""Whenever this creature is dealt damage, you draw that many cards and lose that much life."" That creature's controller may have this artifact deal 1 damage to it. Activate only as a sorcery.",rare,eoe,333
Sunset Saboteur,{1}{B},Creature — Human Rogue,"Menace
Ward—Discard a card.
Whenever this creature attacks, put a +1/+1 counter on target creature an opponent controls.",rare,eoe,334
Zero Point Ballad,{X}{B},Sorcery,"Destroy all creatures with toughness X or less. You lose X life. If X is 6 or more, return a creature card put into a graveyard this way to the battlefield under your control.",rare,eoe,335
Memorial Vault,{3}{R},Artifact,"{T}, Sacrifice another artifact: Exile the top X cards of your library, where X is one plus the mana value of the sacrificed artifact. You may play those cards this turn.",rare,eoe,336
Pain for All,{2}{R},Enchantment — Aura,"Enchant creature you control
When this Aura enters, enchanted creature deals damage equal to its power to any other target.
Whenever enchanted creature is dealt damage, it deals that much damage to each opponent.",rare,eoe,337
Terminal Velocity,{4}{R}{R},Sorcery,"You may put an artifact or creature card from your hand onto the battlefield. That permanent gains haste, ""When this permanent leaves the battlefield, it deals damage equal to its mana value to each creature,"" and ""At the beginning of your end step, sacrifice this permanent.""",rare,eoe,338
Warmaker Gunship,{2}{R},Artifact — Spacecraft,"When this Spacecraft enters, it deals damage equal to the number of artifacts you control to target creature an opponent controls.
Station (Tap another creature you control: Put charge counters equal to its power on this Spacecraft. Station only as a sorcery. It's an artifact creature at 6+.)
6+ | Flying",rare,eoe,339
Bioengineered Future,{1}{G}{G},Enchantment,"When this enchantment enters, create a Lander token. (It's an artifact with ""{2}, {T}, Sacrifice this token: Search your library for a basic land card, put it onto the battlefield tapped, then shuffle."")
Each creature you control enters with an additional +1/+1 counter on it for each land that entered the battlefield under your control this turn.",rare,eoe,340
Famished Worldsire,{5}{G}{G}{G},Creature — Leviathan,"Ward {3}
Devour land 3 (As this creature enters, you may sacrifice any number of lands. It enters with three times that many +1/+1 counters on it.)
When this creature enters, look at the top X cards of your library, where X is this creature's power. Put any number of land cards from among them onto the battlefield tapped, then shuffle.",mythic,eoe,341
Frenzied Baloth,{G}{G},Creature — Beast,"This spell can't be countered.
Trample, haste
Creature spells you control can't be countered.
Combat damage can't be prevented.",rare,eoe,342
Icetill Explorer,{2}{G}{G},Creature — Insect Scout,"You may play an additional land on each of your turns.
You may play lands from your graveyard.
Landfall — Whenever a land you control enters, mill a card.",rare,eoe,343
Loading Zone,{3}{G},Enchantment,"If one or more counters would be put on a creature, Spacecraft, or Planet you control, twice that many of each of those kinds of counters are put on it instead.
Warp {G} (You may cast this card from your hand for its warp cost. Exile this enchantment at the beginning of the next end step, then you may cast it from exile on a later turn.)",rare,eoe,344
Ouroboroid,{2}{G}{G},Creature — Plant Wurm,"At the beginning of combat on your turn, put X +1/+1 counters on each creature you control, where X is this creature's power.",mythic,eoe,345
Sledge-Class Seedship,{2}{G},Artifact — Spacecraft,"Station (Tap another creature you control: Put charge counters equal to its power on this Spacecraft. Station only as a sorcery. It's an artifact creature at 7+.)
7+ | Flying
Whenever this Spacecraft attacks, you may put a creature card from your hand onto the battlefield.",rare,eoe,346
Biotech Specialist,{R}{G},Creature — Insect Scientist,"When this creature enters, create a Lander token. (It's an artifact with ""{2}, {T}, Sacrifice this token: Search your library for a basic land card, put it onto the battlefield tapped, then shuffle."")
Whenever you sacrifice an artifact, this creature deals 2 damage to target opponent.",rare,eoe,347
Infinite Guideline Station,{W}{U}{B}{R}{G},Legendary Artifact — Spacecraft,"When Infinite Guideline Station enters, create a tapped 2/2 colorless Robot artifact creature token for each multicolored permanent you control.
Station (Tap another creature you control: Put charge counters equal to its power on this Spacecraft. Station only as a sorcery. It's an artifact creature at 12+.)
12+ | Flying
Whenever Infinite Guideline Station attacks, draw a card for each multicolored permanent you control.",rare,eoe,348
Pinnacle Emissary,{1}{U}{R},Artifact Creature — Robot,"Whenever you cast an artifact spell, create a 1/1 colorless Drone artifact creature token with flying and ""This token can block only creatures with flying.""
Warp {U/R} (You may cast this card from your hand for its warp cost. Exile this creature at the beginning of the next end step, then you may cast it from exile on a later turn.)",rare,eoe,349
Singularity Rupture,{3}{U}{B}{B},Sorcery,"Destroy all creatures, then any number of target players each mill half their library, rounded down.",rare,eoe,350
"Dawnsire, Sunstar Dreadnought",{5},Legendary Artifact — Spacecraft,"Station (Tap another creature you control: Put charge counters equal to its power on this Spacecraft. Station only as a sorcery. It's an artifact creature at 20+.)
10+ | Whenever you attack, Dawnsire deals 100 damage to up to one target creature or planeswalker.
20+ | Flying",mythic,eoe,351
The Dominion Bracelet,{2},Legendary Artifact — Equipment,"Equipped creature gets +1/+1 and has ""{15}, Exile The Dominion Bracelet: You control target opponent during their next turn. This ability costs {X} less to activate, where X is this creature's power. Activate only as a sorcery."" (You see all cards that player could see and make all decisions for them.)
Equip {1}",mythic,eoe,352
The Endstone,{7},Legendary Artifact,"Whenever you play a land or cast a spell, draw a card.
At the beginning of your end step, your life total becomes half your starting life total, rounded up.",mythic,eoe,353
The Eternity Elevator,{5},Legendary Artifact — Spacecraft,"{T}: Add {C}{C}{C}.
Station (Tap another creature you control: Put charge counters equal to its power on this Spacecraft. Station only as a sorcery.)
20+ | {T}: Add X mana of any one color, where X is the number of charge counters on The Eternity Elevator.",rare,eoe,354
Extinguisher Battleship,{8},Artifact — Spacecraft,"When this Spacecraft enters, destroy target noncreature permanent. Then this Spacecraft deals 4 damage to each creature.
Station (Tap another creature you control: Put charge counters equal to its power on this Spacecraft. Station only as a sorcery. It's an artifact creature at 5+.)
5+ | Flying, trample",rare,eoe,355
Thrumming Hivepool,{6},Artifact,"Affinity for Slivers (This spell costs {1} less to cast for each Sliver you control.)
Slivers you control have double strike and haste.
At the beginning of your upkeep, create two 1/1 colorless Sliver creature tokens.",rare,eoe,356
Anticausal Vestige,{6},Creature — Eldrazi,"When this creature leaves the battlefield, draw a card, then you may put a permanent card with mana value less than or equal to the number of lands you control from your hand onto the battlefield tapped.
Warp {4} (You may cast this card from your hand for its warp cost. Exile this creature at the beginning of the next end step, then you may cast it from exile on a later turn.)",mythic,eoe,357
Exalted Sunborn,{3}{W}{W},Creature — Angel Wizard,"Flying, lifelink
If one or more tokens would be created under your control, twice that many of those tokens are created instead.
Warp {1}{W} (You may cast this card from your hand for its warp cost. Exile this creature at the beginning of the next end step, then you may cast it from exile on a later turn.)",mythic,eoe,358
Starfield Vocalist,{3}{U},Creature — Human Bard,"If a permanent entering the battlefield causes a triggered ability of a permanent you control to trigger, that ability triggers an additional time.
Warp {1}{U} (You may cast this card from your hand for its warp cost. Exile this creature at the beginning of the next end step, then you may cast it from exile on a later turn.)",mythic,eoe,359
"Sothera, the Supervoid",{2}{B}{B},Legendary Enchantment,"Whenever a creature you control dies, each opponent chooses a creature they control and exiles it.
At the beginning of your end step, if a player controls no creatures, sacrifice Sothera, then put a creature card exiled with it onto the battlefield under your control with two additional +1/+1 counters on it.",mythic,eoe,360
Devastating Onslaught,{X}{X}{R},Sorcery,Create X tokens that are copies of target artifact or creature you control. Those tokens gain haste until end of turn. Sacrifice them at the beginning of the next end step.,mythic,eoe,361
Icetill Explorer,{2}{G}{G},Creature — Insect Scout,"You may play an additional land on each of your turns.
You may play lands from your graveyard.
Landfall — Whenever a land you control enters, mill a card.",mythic,eoe,362
Mutinous Massacre,{3}{B}{B}{R}{R},Sorcery,Choose odd or even. Destroy each creature with mana value of the chosen quality. Then gain control of all creatures until end of turn. Untap them. They gain haste until end of turn. (Zero is even.),mythic,eoe,363
The Dominion Bracelet,{2},Legendary Artifact — Equipment,"Equipped creature gets +1/+1 and has ""{15}, Exile The Dominion Bracelet: You control target opponent during their next turn. This ability costs {X} less to activate, where X is this creature's power. Activate only as a sorcery."" (You see all cards that player could see and make all decisions for them.)
Equip {1}",mythic,eoe,364
The Endstone,{7},Legendary Artifact,"Whenever you play a land or cast a spell, draw a card.
At the beginning of your end step, your life total becomes half your starting life total, rounded up.",mythic,eoe,365
Secluded Starforge,,Land,"{T}: Add {C}.
{2}, {T}, Tap X untapped artifacts you control: Target creature gets +X/+0 until end of turn. Activate only as a sorcery.
{5}, {T}: Create a 2/2 colorless Robot artifact creature token.",mythic,eoe,366
Plains,,Basic Land — Plains,({T}: Add {W}.),common,eoe,367
Island,,Basic Land — Island,({T}: Add {U}.),common,eoe,368
Swamp,,Basic Land — Swamp,({T}: Add {B}.),common,eoe,369
Mountain,,Basic Land — Mountain,({T}: Add {R}.),common,eoe,370
Forest,,Basic Land — Forest,({T}: Add {G}.),common,eoe,371
"Adagia, Windswept Bastion",,Land — Planet,"This land enters tapped.
{T}: Add {W}.
Station (Tap another creature you control: Put charge counters equal to its power on this Planet. Station only as a sorcery.)
12+ | {3}{W}, {T}: Create a token that's a copy of target artifact or enchantment you control, except it's legendary. Activate only as a sorcery.",mythic,eoe,372
Breeding Pool,,Land — Forest Island,"({T}: Add {G} or {U}.)
As this land enters, you may pay 2 life. If you don't, it enters tapped.",rare,eoe,373
"Evendo, Waking Haven",,Land — Planet,"This land enters tapped.
{T}: Add {G}.
Station (Tap another creature you control: Put charge counters equal to its power on this Planet. Station only as a sorcery.)
12+ | {G}, {T}: Add {G} for each creature you control.",mythic,eoe,374
Godless Shrine,,Land — Plains Swamp,"({T}: Add {W} or {B}.)
As this land enters, you may pay 2 life. If you don't, it enters tapped.",rare,eoe,375
"Kavaron, Memorial World",,Land — Planet,"This land enters tapped.
{T}: Add {R}.
Station (Tap another creature you control: Put charge counters equal to its power on this Planet. Station only as a sorcery.)
12+ | {1}{R}, {T}, Sacrifice a land: Create a 2/2 colorless Robot artifact creature token, then creatures you control get +1/+0 and gain haste until end of turn.",mythic,eoe,376
Sacred Foundry,,Land — Mountain Plains,"({T}: Add {R} or {W}.)
As this land enters, you may pay 2 life. If you don't, it enters tapped.",rare,eoe,377
Stomping Ground,,Land — Mountain Forest,"({T}: Add {R} or {G}.)
As this land enters, you may pay 2 life. If you don't, it enters tapped.",rare,eoe,378
"Susur Secundi, Void Altar",,Land — Planet,"This land enters tapped.
{T}: Add {B}.
Station (Tap another creature you control: Put charge counters equal to its power on this Planet. Station only as a sorcery.)
12+ | {1}{B}, {T}, Pay 2 life, Sacrifice a creature: Draw cards equal to the sacrificed creature's power. Activate only as a sorcery.",mythic,eoe,379
"Uthros, Titanic Godcore",,Land — Planet,"This land enters tapped.
{T}: Add {U}.
Station (Tap another creature you control: Put charge counters equal to its power on this Planet. Station only as a sorcery.)
12+ | {U}, {T}: Add {U} for each artifact you control.",mythic,eoe,380
Watery Grave,,Land — Island Swamp,"({T}: Add {U} or {B}.)
As this land enters, you may pay 2 life. If you don't, it enters tapped.",rare,eoe,381
"Sothera, the Supervoid",{2}{B}{B},Legendary Enchantment,"Whenever a creature you control dies, each opponent chooses a creature they control and exiles it.
At the beginning of your end step, if a player controls no creatures, sacrifice Sothera, then put a creature card exiled with it onto the battlefield under your control with two additional +1/+1 counters on it.",mythic,eoe,382
Anticausal Vestige,{6},Creature — Eldrazi,"When this creature leaves the battlefield, draw a card, then you may put a permanent card with mana value less than or equal to the number of lands you control from your hand onto the battlefield tapped.
Warp {4} (You may cast this card from your hand for its warp cost. Exile this creature at the beginning of the next end step, then you may cast it from exile on a later turn.)",mythic,eoe,383
Exalted Sunborn,{3}{W}{W},Creature — Angel Wizard,"Flying, lifelink
If one or more tokens would be created under your control, twice that many of those tokens are created instead.
Warp {1}{W} (You may cast this card from your hand for its warp cost. Exile this creature at the beginning of the next end step, then you may cast it from exile on a later turn.)",mythic,eoe,384
Starfield Vocalist,{3}{U},Creature — Human Bard,"If a permanent entering the battlefield causes a triggered ability of a permanent you control to trigger, that ability triggers an additional time.
Warp {1}{U} (You may cast this card from your hand for its warp cost. Exile this creature at the beginning of the next end step, then you may cast it from exile on a later turn.)",mythic,eoe,385
"Sothera, the Supervoid",{2}{B}{B},Legendary Enchantment,"Whenever a creature you control dies, each opponent chooses a creature they control and exiles it.
At the beginning of your end step, if a player controls no creatures, sacrifice Sothera, then put a creature card exiled with it onto the battlefield under your control with two additional +1/+1 counters on it.",mythic,eoe,386
Devastating Onslaught,{X}{X}{R},Sorcery,Create X tokens that are copies of target artifact or creature you control. Those tokens gain haste until end of turn. Sacrifice them at the beginning of the next end step.,mythic,eoe,387
Icetill Explorer,{2}{G}{G},Creature — Insect Scout,"You may play an additional land on each of your turns.
You may play lands from your graveyard.
Landfall — Whenever a land you control enters, mill a card.",mythic,eoe,388
Mutinous Massacre,{3}{B}{B}{R}{R},Sorcery,Choose odd or even. Destroy each creature with mana value of the chosen quality. Then gain control of all creatures until end of turn. Untap them. They gain haste until end of turn. (Zero is even.),mythic,eoe,389
The Dominion Bracelet,{2},Legendary Artifact — Equipment,"Equipped creature gets +1/+1 and has ""{15}, Exile The Dominion Bracelet: You control target opponent during their next turn. This ability costs {X} less to activate, where X is this creature's power. Activate only as a sorcery."" (You see all cards that player could see and make all decisions for them.)
Equip {1}",mythic,eoe,390
The Endstone,{7},Legendary Artifact,"Whenever you play a land or cast a spell, draw a card.
At the beginning of your end step, your life total becomes half your starting life total, rounded up.",mythic,eoe,391
Secluded Starforge,,Land,"{T}: Add {C}.
{2}, {T}, Tap X untapped artifacts you control: Target creature gets +X/+0 until end of turn. Activate only as a sorcery.
{5}, {T}: Create a 2/2 colorless Robot artifact creature token.",mythic,eoe,392
